soc_code,onet_title,name_id,name_alt,relevance,note,sectors,job_zone,riasec_top,description
11-2011.00,Advertising and Promotions Managers,Manajer Periklanan dan Promosi,Advertising Manager;Manajer Iklan,umum,,Kreatif & Media Digital,4,E,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
11-2022.00,Sales Managers,Sales Manager,Manajer Penjualan,umum,,E-commerce & Perdagangan,4,E,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determi"
11-2032.00,Public Relations Managers,Manajer Public Relations (PR),Manajer Humas;PR Manager,umum,,Kreatif & Media Digital,4,E,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client."
11-3031.00,Financial Managers,Manajer Keuangan,Finance Manager,umum,,Perbankan & Fintech,4,E,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment."
11-3031.01,Treasurers and Controllers,Treasurer / Kontroler Keuangan,Manajer Treasury;Finance Controller,terbatas,"Di Indonesia fungsi treasurer & controller biasanya digabung dalam satu peran 'Manajer Keuangan/Finance Controller', jarang berdiri sebagai jabatan terpisah bernama persis 'Treasurer'.",Perbankan & Fintech,4,C,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization."
11-3031.03,Investment Fund Managers,Manajer Investasi,Fund Manager;Portfolio Manager,umum,,Perbankan & Fintech,5,E,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors."
11-3051.00,Industrial Production Managers,Manajer Produksi,Production Manager;Plant Manager,umum,,FMCG,4,E,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
11-3051.01,Quality Control Systems Managers,Manajer QA/QC,Quality Assurance Manager;Quality Control Manager,umum,,FMCG,4,C,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts."
11-3051.02,Geothermal Production Managers,Manajer Produksi Panas Bumi,Geothermal Plant Manager,tidak_relevan,"Bukan peran FMCG; ini manajemen pembangkit panas bumi (sektor energi), tampaknya salah kategori di data sumber.",Energi & Pertambangan,3,R,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.
11-3051.03,Biofuels Production Managers,Manajer Produksi Biofuel,Biofuel Plant Manager,tidak_relevan,"Bukan peran FMCG khas; industri biofuel di Indonesia masuk sektor energi, bukan barang konsumsi.",Energi & Pertambangan,4,E,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures."
11-3051.04,Biomass Power Plant Managers,Manajer Pembangkit Biomassa,Biomass Power Plant Manager,tidak_relevan,"Peran sektor energi (PLTBm), bukan FMCG; ikut tag FMCG karena tampaknya salah kategori data sumber.",Energi & Pertambangan,4,C,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff."
11-3051.06,Hydroelectric Production Managers,Manajer Pembangkit Hidroelektrik,Hydro Power Plant Manager,tidak_relevan,"Peran sektor energi (PLTA), bukan FMCG.",Energi & Pertambangan,3,R,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.
11-3061.00,Purchasing Managers,Purchasing Manager,Manajer Pembelian;Manajer Procurement,umum,,E-commerce & Perdagangan,4,E,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers."
11-3071.04,Supply Chain Managers,Supply Chain Manager,Manajer Rantai Pasok,umum,,E-commerce & Perdagangan,4,E,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direc"
11-9199.00,"Managers, All Other",Manajer (Lainnya),General Manager;Manajer Lainnya,umum,"Kategori catch-all O*NET, tidak spesifik pada satu jabatan.",FMCG,,,All managers not listed separately.
11-9199.01,Regulatory Affairs Managers,Manajer Regulatory Affairs,Manajer Urusan Regulasi,umum,,FMCG,4,E,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures."
11-9199.02,Compliance Managers,Manajer Compliance,Manajer Kepatuhan,umum,,FMCG,4,C,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards."
11-9199.08,Loss Prevention Managers,Manajer Loss Prevention,Manajer Asset Protection;Manajer Keamanan Aset,terbatas,Lebih umum di retail modern/peritel besar daripada pabrik FMCG murni.,FMCG,4,C,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures."
11-9199.09,Wind Energy Operations Managers,Manajer Operasional PLTB (Tenaga Angin),Wind Farm Operations Manager,tidak_relevan,"Sektor energi angin, bukan FMCG.",Energi & Pertambangan,3,E,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning."
11-9199.10,Wind Energy Development Managers,Manajer Pengembangan PLTB,Wind Energy Development Manager,tidak_relevan,"Sektor energi angin, bukan FMCG.",Energi & Pertambangan,4,E,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects."
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Spesialis Remediasi Lahan Terkontaminasi,Brownfield Site Manager,tidak_relevan,"perlu verifikasi; peran sangat niche (remediasi lahan bekas industri), praktis tidak ada padanan pasar kerja umum di Indonesia.",FMCG,4,C,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Manajer Artis,Agen Artis;Talent Manager,umum,,Kreatif & Media Digital,4,E,"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients."
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Buyer Komoditas Pertanian,Pembeli Hasil Pertanian;Grain Buyer,terbatas,"Niche, lebih umum di trading komoditas/agribisnis daripada e-commerce ritel",E-commerce & Perdagangan,4,E,"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts."
