soc_code,attribute_code,layer,score,rank_in_layer,is_dominant,dna_source
11-1011.00,INT_BISNIS,INTEREST,100.0,1,True,onet
11-1011.00,INT_KEUANGAN,INTEREST,77.09,2,True,onet
11-1011.00,INT_SOSIAL,INTEREST,48.56,3,True,onet
11-1011.00,INT_HUKUM,INTEREST,46.0,4,False,onet
11-1011.00,INT_KREATIVITAS,INTEREST,22.39,5,False,onet
11-1011.00,INT_TEKNOLOGI,INTEREST,22.04,6,False,onet
11-1011.00,INT_PENDIDIKAN,INTEREST,18.67,7,False,onet
11-1011.00,INT_RISET,INTEREST,16.17,8,False,onet
11-1011.00,INT_KESEHATAN,INTEREST,13.26,9,False,onet
11-1011.00,INT_LINGKUNGAN,INTEREST,1.88,10,False,onet
11-1011.00,ACT_MEMIMPIN,ACTIVITY,100.0,1,True,onet
11-1011.00,ACT_MENGAJAR,ACTIVITY,99.13,2,True,onet
11-1011.00,ACT_KOMUNIKASI,ACTIVITY,97.64,3,True,onet
11-1011.00,ACT_PROBLEM,ACTIVITY,97.15,4,True,onet
11-1011.00,ACT_MENJUAL,ACTIVITY,92.13,5,False,onet
11-1011.00,ACT_OPERASIONAL,ACTIVITY,90.79,6,False,onet
11-1011.00,ACT_QC,ACTIVITY,84.79,7,False,onet
11-1011.00,ACT_ANALISA,ACTIVITY,83.38,8,False,onet
11-1011.00,ACT_DESAIN,ACTIVITY,80.78,9,False,onet
11-1011.00,ACT_RISET,ACTIVITY,80.07,10,False,onet
11-1011.00,ACT_MEMBANGUN,ACTIVITY,77.5,11,False,onet
11-1011.00,ACT_MEMBANTU,ACTIVITY,72.19,12,False,onet
11-1011.00,SKL_PERENCANAAN,SKILL,100.0,1,True,onet
11-1011.00,SKL_KEPEMIMPINAN,SKILL,100.0,2,True,onet
11-1011.00,SKL_WAKTU,SKILL,100.0,3,True,onet
11-1011.00,SKL_ADAPTABILITAS,SKILL,96.49,4,True,onet
11-1011.00,SKL_NEGOSIASI,SKILL,96.04,5,True,onet
11-1011.00,SKL_CRITICAL,SKILL,95.34,6,False,onet
11-1011.00,SKL_KEPUTUSAN,SKILL,94.75,7,False,onet
11-1011.00,SKL_LOGIKA,SKILL,90.45,8,False,onet
11-1011.00,SKL_KOLABORASI,SKILL,84.36,9,False,onet
11-1011.00,SKL_KOMUNIKASI,SKILL,80.33,10,False,onet
11-1011.00,SKL_KREATIVITAS,SKILL,76.84,11,False,onet
11-1011.00,SKL_PRESENTASI,SKILL,76.51,12,False,onet
11-1011.00,SKL_BELAJAR,SKILL,70.05,13,False,onet
11-1011.00,SKL_EMPATI,SKILL,57.42,14,False,onet
11-1011.00,SKL_NUMERIK,SKILL,57.02,15,False,onet
11-1011.00,SKL_KETELITIAN,SKILL,38.19,16,False,onet
11-1011.00,ENV_HYBRID,ENVIRONMENT,94.34,1,True,rule
11-1011.00,ENV_KANTOR,ENVIRONMENT,91.7,2,True,onet
11-1011.00,ENV_REMOTE,ENVIRONMENT,85.95,3,True,rule
11-1011.00,ENV_SEKOLAH,ENVIRONMENT,65.7,4,False,onet
11-1011.00,ENV_RS,ENVIRONMENT,30.97,5,False,onet
11-1011.00,ENV_ONSITE,ENVIRONMENT,26.77,6,False,onet
11-1011.00,ENV_PABRIK,ENVIRONMENT,19.36,7,False,onet
11-1011.00,ENV_LAB,ENVIRONMENT,10.64,8,False,onet
11-1011.00,WSY_MANDIRI,WORKSTYLE,100.0,1,True,onet
11-1011.00,WSY_TARGET,WORKSTYLE,91.47,2,True,onet
11-1011.00,WSY_BERUBAH,WORKSTYLE,90.65,3,False,onet
11-1011.00,WSY_DINAMIS,WORKSTYLE,90.22,4,False,onet
11-1011.00,WSY_KOLABORATIF,WORKSTYLE,71.78,5,False,onet
11-1011.00,WSY_TERSTRUKTUR,WORKSTYLE,56.12,6,False,onet
11-1011.00,WSY_PELAYANAN,WORKSTYLE,39.79,7,False,onet
11-1011.00,WSY_DETAIL,WORKSTYLE,30.97,8,False,onet
11-1011.03,INT_RISET,INTEREST,71.0,1,True,inherited:19-2041.00
11-1011.03,INT_LINGKUNGAN,INTEREST,67.12,2,True,inherited:19-2041.00
11-1011.03,INT_BISNIS,INTEREST,44.93,3,True,inherited:19-2041.00
11-1011.03,INT_HUKUM,INTEREST,28.52,4,False,inherited:19-2041.00
11-1011.03,INT_TEKNOLOGI,INTEREST,28.42,5,False,inherited:19-2041.00
11-1011.03,INT_KESEHATAN,INTEREST,25.83,6,False,inherited:19-2041.00
11-1011.03,INT_PENDIDIKAN,INTEREST,25.17,7,False,inherited:19-2041.00
11-1011.03,INT_SOSIAL,INTEREST,15.67,8,False,inherited:19-2041.00
11-1011.03,INT_KREATIVITAS,INTEREST,12.14,9,False,inherited:19-2041.00
11-1011.03,INT_KEUANGAN,INTEREST,10.83,10,False,inherited:19-2041.00
11-1011.03,ACT_MEMIMPIN,ACTIVITY,97.51,1,True,onet
11-1011.03,ACT_KOMUNIKASI,ACTIVITY,95.59,2,True,onet
11-1011.03,ACT_ANALISA,ACTIVITY,93.33,3,True,onet
11-1011.03,ACT_PROBLEM,ACTIVITY,89.32,4,True,onet
11-1011.03,ACT_OPERASIONAL,ACTIVITY,84.1,5,False,onet
11-1011.03,ACT_DESAIN,ACTIVITY,81.08,6,False,onet
11-1011.03,ACT_RISET,ACTIVITY,79.72,7,False,onet
11-1011.03,ACT_MENJUAL,ACTIVITY,77.32,8,False,onet
11-1011.03,ACT_MEMBANGUN,ACTIVITY,76.95,9,False,onet
11-1011.03,ACT_MENGAJAR,ACTIVITY,76.59,10,False,onet
11-1011.03,ACT_MEMBANTU,ACTIVITY,62.73,11,False,onet
11-1011.03,ACT_QC,ACTIVITY,57.68,12,False,onet
11-1011.03,SKL_KOLABORASI,SKILL,82.42,1,True,onet
11-1011.03,SKL_CRITICAL,SKILL,81.75,2,True,onet
11-1011.03,SKL_LOGIKA,SKILL,81.55,3,True,onet
11-1011.03,SKL_KREATIVITAS,SKILL,75.48,4,True,onet
11-1011.03,SKL_NEGOSIASI,SKILL,75.11,5,True,onet
