soc_code,title,r,i,a,s,e,c,r_pct,i_pct,a_pct,s_pct,e_pct,c_pct,holland_code
11-1011.00,Chief Executives,1.26,3.05,2.16,3.54,6.96,4.97,5.74,13.90,9.85,16.13,31.72,22.65,ECS
11-1011.03,Chief Sustainability Officers,2.04,4.78,2.48,3.55,6.68,4.49,8.49,19.90,10.32,14.78,27.81,18.69,EIC
11-1021.00,General and Operations Managers,2.20,2.37,1.29,3.38,7.00,5.34,10.19,10.98,5.98,15.66,32.44,24.75,ECS
11-1031.00,Legislators,1.54,3.35,2.70,3.69,5.52,3.62,7.54,16.41,13.22,18.07,27.03,17.73,ESC
11-2011.00,Advertising and Promotions Managers,1.00,1.69,3.87,3.14,7.00,4.43,4.73,8.00,18.32,14.86,33.13,20.97,ECA
11-2021.00,Marketing Managers,1.00,2.90,2.45,2.82,7.00,4.70,4.79,13.90,11.74,13.51,33.54,22.52,ECI
11-2022.00,Sales Managers,1.49,1.67,1.36,3.37,7.00,5.53,7.30,8.18,6.66,16.50,34.28,27.08,ECS
11-2032.00,Public Relations Managers,1.00,2.34,3.67,4.18,7.00,4.39,4.43,10.36,16.25,18.51,31.00,19.44,ECS
11-2033.00,Fundraising Managers,1.00,2.41,2.61,3.76,7.00,4.82,4.63,11.16,12.08,17.41,32.41,22.31,ECS
11-3012.00,Administrative Services Managers,1.42,2.12,1.11,3.74,6.47,6.27,6.72,10.03,5.25,17.70,30.62,29.67,ECS
11-3013.00,Facilities Managers,4.15,2.60,1.61,3.58,5.35,5.35,18.33,11.48,7.11,15.81,23.63,23.63,ECR
11-3013.01,Security Managers,3.39,3.69,1.30,2.75,5.63,5.43,15.28,16.63,5.86,12.39,25.37,24.47,ECI
11-3021.00,Computer and Information Systems Managers,2.68,4.49,1.47,2.35,5.09,5.94,12.17,20.39,6.68,10.67,23.12,26.98,CEI
11-3031.00,Financial Managers,1.36,2.46,1.59,3.04,7.00,5.56,6.47,11.71,7.57,14.47,33.32,26.46,ECS
11-3031.01,Treasurers and Controllers,1.00,2.20,1.17,2.68,6.15,6.44,5.09,11.20,5.96,13.65,31.31,32.79,CES
11-3031.03,Investment Fund Managers,1.48,3.77,1.65,2.69,6.95,5.21,6.80,17.33,7.59,12.37,31.95,23.95,ECI
11-3051.00,Industrial Production Managers,4.00,2.92,1.40,1.85,6.03,5.21,18.68,13.64,6.54,8.64,28.16,24.33,ECR
11-3051.01,Quality Control Systems Managers,3.58,4.12,1.28,2.07,5.09,5.42,16.60,19.11,5.94,9.60,23.61,25.14,CEI
11-3051.02,Geothermal Production Managers,5.35,3.35,1.00,2.07,4.58,4.82,25.27,15.82,4.72,9.78,21.63,22.77,RCE
11-3051.03,Biofuels Production Managers,4.59,3.74,1.00,1.83,5.41,5.06,21.22,17.29,4.62,8.46,25.01,23.39,ECR
11-3051.04,Biomass Power Plant Managers,5.12,3.19,1.00,1.72,4.86,5.34,24.12,15.03,4.71,8.10,22.89,25.15,CRE
11-3051.06,Hydroelectric Production Managers,5.37,3.64,1.00,1.83,4.57,5.02,25.06,16.99,4.67,8.54,21.33,23.43,RCE
11-3061.00,Purchasing Managers,2.49,1.77,1.20,2.70,7.00,5.98,11.78,8.37,5.68,12.77,33.11,28.29,ECS
11-3071.00,"Transportation, Storage, and Distribution Managers",3.60,2.64,1.00,2.39,5.99,5.74,16.85,12.36,4.68,11.19,28.04,26.87,ECR
11-3071.04,Supply Chain Managers,3.39,2.46,1.00,2.04,6.24,5.25,16.63,12.07,4.91,10.01,30.62,25.76,ECR
11-3111.00,Compensation and Benefits Managers,1.00,2.18,1.41,3.81,7.00,5.66,4.75,10.35,6.70,18.09,33.24,26.88,ECS
11-3121.00,Human Resources Managers,1.26,2.31,1.50,3.88,7.00,5.54,5.86,10.75,6.98,18.05,32.57,25.78,ECS
11-3131.00,Training and Development Managers,1.90,3.04,2.57,5.54,6.35,4.04,8.11,12.97,10.96,23.63,27.09,17.24,ESC
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",5.16,2.74,1.06,2.63,5.52,4.53,23.84,12.66,4.90,12.15,25.51,20.93,ERC
11-9021.00,Construction Managers,4.68,3.18,1.70,2.35,5.73,4.80,20.86,14.17,7.58,10.47,25.53,21.39,ECR
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",1.20,2.90,2.78,6.46,4.85,4.53,5.28,12.76,12.24,28.43,21.35,19.94,SEC
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.31,3.06,2.84,5.72,5.34,4.68,5.71,13.33,12.37,24.92,23.27,20.39,SEC
11-9033.00,"Education Administrators, Postsecondary",1.00,3.83,2.81,5.64,5.30,4.91,4.26,16.30,11.96,24.01,22.56,20.90,SEC
11-9041.00,Architectural and Engineering Managers,2.99,4.56,2.64,2.95,6.40,4.43,12.47,19.02,11.01,12.31,26.70,18.48,EIC
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.16,5.84,2.11,2.10,4.70,3.51,18.55,26.05,9.41,9.37,20.96,15.66,IER
11-9051.00,Food Service Managers,4.16,1.96,1.63,3.53,5.97,5.06,18.65,8.79,7.31,15.82,26.76,22.68,ECR
11-9071.00,Gambling Managers,2.80,1.35,1.09,2.86,6.74,5.46,13.79,6.65,5.37,14.09,33.20,26.90,ECS
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",3.35,1.96,1.98,3.93,6.25,5.04,14.88,8.71,8.80,17.46,27.77,22.39,ECS
11-9081.00,Lodging Managers,2.69,1.10,1.43,4.31,6.21,5.22,12.83,5.25,6.82,20.56,29.63,24.90,ECS
11-9111.00,Medical and Health Services Managers,2.05,3.75,1.45,4.40,5.95,5.17,9.00,16.47,6.37,19.32,26.13,22.71,ECS
11-9121.00,Natural Sciences Managers,2.74,5.87,2.44,3.09,5.60,4.22,11.44,24.50,10.18,12.90,23.37,17.61,IEC
11-9121.01,Clinical Research Coordinators,1.58,5.90,1.76,3.58,4.31,4.81,7.20,26.89,8.02,16.32,19.64,21.92,ICE
11-9121.02,Water Resource Specialists,4.45,5.80,1.78,2.58,3.53,4.17,19.95,26.00,7.98,11.56,15.82,18.69,IRC
11-9131.00,Postmasters and Mail Superintendents,2.14,1.30,1.17,3.35,6.00,5.69,10.89,6.62,5.95,17.05,30.53,28.96,ECS
11-9141.00,"Property, Real Estate, and Community Association Managers",3.28,2.11,1.69,3.53,6.67,5.26,14.55,9.36,7.50,15.66,29.59,23.34,ECS
11-9151.00,Social and Community Service Managers,1.00,2.17,2.43,5.43,6.97,4.21,4.50,9.77,10.94,24.45,31.38,18.96,ESC
11-9161.00,Emergency Management Directors,3.53,4.49,1.82,4.01,5.07,4.69,14.95,19.02,7.71,16.98,21.47,19.86,ECI
11-9171.00,Funeral Home Managers,2.81,2.32,1.89,4.35,6.38,4.56,12.60,10.40,8.47,19.50,28.60,20.44,ECS
11-9179.01,Fitness and Wellness Coordinators,3.21,2.69,2.14,5.58,5.42,3.65,14.15,11.86,9.43,24.59,23.89,16.09,SEC
11-9179.02,Spa Managers,2.50,1.31,1.84,4.19,7.00,4.91,11.49,6.02,8.46,19.26,32.18,22.57,ECS
11-9199.01,Regulatory Affairs Managers,1.93,2.99,1.34,2.65,6.55,5.67,9.13,14.15,6.34,12.54,31.00,26.83,ECI
11-9199.02,Compliance Managers,1.92,2.98,1.00,3.10,5.93,6.30,9.04,14.04,4.71,14.60,27.93,29.67,CES
11-9199.08,Loss Prevention Managers,3.43,3.62,1.00,2.85,5.62,5.85,15.33,16.18,4.47,12.74,25.12,26.15,CEI
11-9199.09,Wind Energy Operations Managers,4.16,3.04,1.00,2.34,6.47,5.24,18.70,13.66,4.49,10.52,29.08,23.55,ECR
11-9199.10,Wind Energy Development Managers,3.44,3.86,1.66,2.38,6.71,4.82,15.04,16.88,7.26,10.41,29.34,21.08,ECI
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,4.49,4.31,1.46,2.03,4.54,4.69,20.86,20.03,6.78,9.43,21.10,21.79,CER
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",1.00,1.76,3.55,4.14,6.48,3.73,4.84,8.52,17.18,20.04,31.36,18.05,ESC
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4.56,1.85,1.08,1.74,4.91,4.80,24.08,9.77,5.70,9.19,25.92,25.34,ECR
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.37,1.92,1.56,2.45,5.23,5.17,17.11,9.75,7.92,12.44,26.55,26.24,ECR
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.50,1.82,1.19,1.93,5.09,5.65,18.25,9.49,6.20,10.06,26.54,29.46,CER
13-1031.00,"Claims Adjusters, Examiners, and Investigators",1.23,3.53,1.00,2.61,4.77,6.23,6.35,18.22,5.16,13.47,24.63,32.16,CEI
13-1032.00,"Insurance Appraisers, Auto Damage",5.17,3.04,1.16,1.64,3.54,5.44,25.86,15.21,5.80,8.20,17.71,27.21,CRE
13-1041.00,Compliance Officers,2.51,3.07,1.00,2.97,4.08,6.33,12.58,15.38,5.01,14.88,20.44,31.71,CEI
13-1041.01,Environmental Compliance Inspectors,4.57,4.77,1.05,2.35,3.21,5.84,20.97,21.89,4.82,10.78,14.73,26.80,CIR
13-1041.03,Equal Opportunity Representatives and Officers,1.23,3.01,1.73,4.24,5.37,5.21,5.92,14.48,8.32,20.39,25.83,25.06,ECS
13-1041.04,Government Property Inspectors and Investigators,3.09,3.32,1.00,2.41,4.20,6.26,15.24,16.37,4.93,11.88,20.71,30.87,CEI
13-1041.06,Coroners,4.04,4.94,1.50,3.10,4.09,4.86,17.93,21.93,6.66,13.76,18.15,21.57,ICE
13-1041.07,Regulatory Affairs Specialists,1.40,3.32,1.00,2.50,4.46,6.32,7.37,17.47,5.26,13.16,23.47,33.26,CEI
13-1041.08,Customs Brokers,2.37,1.53,1.00,2.17,5.02,6.13,13.01,8.40,5.49,11.91,27.55,33.64,CER
13-1051.00,Cost Estimators,3.01,3.18,1.12,1.66,4.65,6.44,15.00,15.85,5.58,8.28,23.18,32.10,CEI
13-1071.00,Human Resources Specialists,1.03,2.52,1.35,3.78,5.67,5.52,5.18,12.68,6.79,19.02,28.54,27.78,ECS
13-1074.00,Farm Labor Contractors,4.85,1.54,1.00,3.24,4.99,4.39,24.24,7.70,5.00,16.19,24.94,21.94,ERC
13-1075.00,Labor Relations Specialists,1.31,3.10,1.71,3.72,5.65,4.61,6.52,15.42,8.51,18.51,28.11,22.94,ECS
13-1081.00,Logisticians,2.35,3.81,1.10,2.33,5.02,5.44,11.72,19.00,5.49,11.62,25.04,27.13,CEI
13-1081.01,Logistics Engineers,4.02,5.22,1.07,1.31,3.76,5.67,19.10,24.80,5.08,6.22,17.86,26.94,CIR
13-1081.02,Logistics Analysts,2.88,4.04,1.00,1.52,4.47,6.79,13.91,19.52,4.83,7.34,21.59,32.80,CEI
13-1082.00,Project Management Specialists,1.48,2.75,1.57,3.32,6.30,5.55,7.06,13.11,7.49,15.83,30.04,26.47,ECS
13-1111.00,Management Analysts,1.37,5.44,1.63,2.82,4.81,6.05,6.19,24.59,7.37,12.75,21.75,27.35,CIE
13-1121.00,"Meeting, Convention, and Event Planners",1.00,1.56,2.49,4.56,7.00,4.96,4.64,7.23,11.54,21.14,32.45,22.99,ECS
13-1131.00,Fundraisers,1.00,2.02,3.22,4.23,6.03,4.07,4.86,9.82,15.65,20.56,29.31,19.79,ESC
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",1.29,3.42,1.41,3.64,5.38,5.80,6.16,16.33,6.73,17.38,25.69,27.70,CES
13-1151.00,Training and Development Specialists,2.03,4.03,3.19,5.64,3.68,3.76,9.09,18.05,14.29,25.26,16.48,16.84,SIC
13-1161.00,Market Research Analysts and Marketing Specialists,1.08,4.60,2.56,2.47,5.52,4.62,5.18,22.06,12.28,11.85,26.47,22.16,ECI
13-1161.01,Search Marketing Strategists,1.00,3.78,3.23,2.76,5.54,4.68,4.76,18.01,15.39,13.15,26.39,22.30,ECI
13-1199.04,Business Continuity Planners,2.00,4.39,1.66,3.06,5.23,5.06,9.35,20.51,7.76,14.30,24.44,23.64,ECI
13-1199.05,Sustainability Specialists,2.06,5.20,2.50,2.95,5.09,4.41,9.28,23.41,11.26,13.28,22.92,19.86,IEC
13-1199.06,Online Merchants,2.42,1.61,1.88,2.32,5.78,5.97,12.11,8.06,9.41,11.61,28.93,29.88,CER
13-1199.07,Security Management Specialists,3.86,5.09,1.68,1.96,3.73,5.68,17.55,23.14,7.64,8.91,16.95,25.82,CIR
13-2011.00,Accountants and Auditors,1.14,3.57,1.08,2.13,3.87,7.00,6.07,19.00,5.75,11.34,20.60,37.25,CEI
