IWA Element ID,IWA Element Name,GWA Element ID,GWA Element Name,careers,w
4.A.3.b.6.h,Maintain operational records.,4.A.3.b.6,Documenting/Recording Information,202,1040.71
4.A.4.b.4.j,"Direct organizational operations, activities, or procedures.",4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",163,935.29
4.A.2.b.3.a,Maintain current knowledge in area of expertise.,4.A.2.b.3,Updating and Using Relevant Knowledge,162,1158.07
4.A.4.b.4.a,Supervise personnel activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",147,741.25
4.A.3.a.1.c,"Clean tools, equipment, facilities, or work areas.",4.A.3.a.1,Performing General Physical Activities,108,656.76
4.A.4.c.3.e,Purchase goods or services.,4.A.4.c.3,Monitoring and Controlling Resources,104,420.85
4.A.2.b.1.j,Select materials or equipment for operations or projects.,4.A.2.b.1,Making Decisions and Solving Problems,102,461.3
4.A.3.a.2.i,Adjust equipment to ensure adequate performance.,4.A.3.a.2,Handling and Moving Objects,95,751.64
4.A.1.a.1.b,Read documents or materials to inform work processes.,4.A.1.a.1,Getting Information,92,548.63
4.A.3.b.5.a,Maintain tools or equipment.,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,87,547.4
4.A.1.b.3.a,"Measure physical characteristics of materials, products, or equipment.",4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",85,553.74
4.A.3.b.6.l,Prepare informational or instructional materials.,4.A.3.b.6,Documenting/Recording Information,83,553.04
4.A.4.a.2.c,Communicate with others about operational plans or activities.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",74,431.46
4.A.3.b.6.k,Maintain health or medical records.,4.A.3.b.6,Documenting/Recording Information,70,460.18
4.A.1.a.2.a,Monitor equipment operation.,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",70,478.59
4.A.4.a.6.c,"Promote products, services, or programs.",4.A.4.a.6,Selling or Influencing Others,69,380.34
4.A.4.b.3.f,Train others on health or medical topics.,4.A.4.b.3,Training and Teaching Others,68,430.14
4.A.4.c.1.a,Perform administrative or clerical activities.,4.A.4.c.1,Performing Administrative Activities,67,360.57
4.A.3.a.1.f,"Load products, materials, or equipment for transportation or further processing.",4.A.3.a.1,Performing General Physical Activities,65,433.02
4.A.1.b.2.g,"Inspect commercial, industrial, or production systems or equipment.",4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",64,312.86
4.A.4.b.3.b,Teach academic or vocational subjects.,4.A.4.b.3,Training and Teaching Others,61,581.92
4.A.2.a.4.f,Analyze health or medical data.,4.A.2.a.4,Analyzing Data or Information,61,438.33
4.A.2.b.2.l,"Develop educational programs, plans, or procedures.",4.A.2.b.2,Thinking Creatively,60,618.96
4.A.4.a.2.d,Confer with healthcare or other professionals about patient care.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",59,434.98
4.A.4.c.3.a,"Replenish inventories of materials, equipment, or products.",4.A.4.c.3,Monitoring and Controlling Resources,58,264.9
4.A.3.b.4.c,Repair tools or equipment.,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,58,404.59000000000003
4.A.4.b.6.g,Advise others on educational or vocational matters.,4.A.4.b.6,Providing Consultation and Advice to Others,58,705.89
4.A.3.a.3.f,Operate industrial processing or production equipment.,4.A.3.a.3,Controlling Machines and Processes,57,507.47
4.A.4.b.3.e,Train others to use equipment or products.,4.A.4.b.3,Training and Teaching Others,57,248.41
4.A.1.b.2.f,Inspect completed work or finished products.,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",57,311.62
4.A.4.b.3.d,Train others on operational or work procedures.,4.A.4.b.3,Training and Teaching Others,57,227.06
4.A.2.a.1.c,"Assess student capabilities, needs, or performance.",4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",56,967.99
4.A.2.b.2.o,Create visual designs or displays.,4.A.2.b.2,Thinking Creatively,54,402.98
4.A.4.a.2.h,Communicate with others about specifications or project details.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",54,324.92
4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",54,370.23
4.A.2.a.2.c,"Compile records, documentation, or other data.",4.A.2.a.2,Processing Information,52,191.99
4.A.1.b.2.l,Test performance of equipment or systems.,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",52,283.45
4.A.1.a.2.e,Monitor health conditions of humans or animals.,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",51,353.11
4.A.4.b.4.b,Serve on organizational committees.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",51,185.06
4.A.3.b.6.g,Prepare proposals or grant applications.,4.A.3.b.6,Documenting/Recording Information,50,183.65
4.A.4.b.6.e,Advise others on business or operational matters.,4.A.4.b.6,Providing Consultation and Advice to Others,49,247.29
4.A.3.a.2.f,Position workpieces or materials on equipment.,4.A.3.a.2,Handling and Moving Objects,49,484.02
4.A.3.a.2.d,Assemble equipment or components.,4.A.3.a.2,Handling and Moving Objects,46,365.2
4.A.3.b.6.p,Write material for artistic or commercial purposes.,4.A.3.b.6,Documenting/Recording Information,46,240.46
4.A.2.a.1.b,"Evaluate programs, practices, or processes.",4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",46,200.48
4.A.3.b.6.c,Present research or technical information.,4.A.3.b.6,Documenting/Recording Information,45,222.01
4.A.2.b.1.d,Determine operational methods or procedures.,4.A.2.b.1,Making Decisions and Solving Problems,45,295.41
4.A.3.a.1.j,"Move materials, equipment, or supplies.",4.A.3.a.1,Performing General Physical Activities,44,223.3
4.A.4.a.5.c,Administer basic health care or medical treatments.,4.A.4.a.5,Assisting and Caring for Others,44,411.19
4.A.2.a.4.g,Analyze data to improve operations.,4.A.2.a.4,Analyzing Data or Information,42,327.73
4.A.3.a.2.ao,Position materials or components for assembly.,4.A.3.a.2,Handling and Moving Objects,42,294.25
4.A.3.a.3.h,Operate lifting or moving equipment.,4.A.3.a.3,Controlling Machines and Processes,41,209.38
4.A.3.a.2.l,Cut materials.,4.A.3.a.2,Handling and Moving Objects,41,261.59
4.A.1.a.2.b,Monitor operations to ensure adequate performance.,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",40,204.53
4.A.2.b.6.a,Plan events or programs.,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",40,130.69
4.A.2.a.1.g,"Evaluate the characteristics, usefulness, or performance of products or technologies.",4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",40,199.15
4.A.1.a.1.l,Collect information about patients or clients.,4.A.1.a.1,Getting Information,40,214.9
4.A.2.a.2.a,Evaluate the quality or accuracy of data.,4.A.2.a.2,Processing Information,40,246.09
4.A.3.b.1.f,Process digital or online data.,4.A.3.b.1,Working with Computers,38,237.23
4.A.1.b.1.a,Mark materials or objects for identification.,4.A.1.b.1,"Identifying Objects, Actions, and Events",38,157.81
4.A.4.a.1.e,Explain medical information to patients or family members.,4.A.4.a.1,Interpreting the Meaning of Information for Others,38,218.9
4.A.3.a.2.s,Disassemble equipment.,4.A.3.a.2,Handling and Moving Objects,37,212.32
4.A.4.c.1.c,Execute financial transactions.,4.A.4.c.1,Performing Administrative Activities,37,265.61
4.A.3.a.3.d,Operate medical equipment.,4.A.3.a.3,Controlling Machines and Processes,37,393.06
4.A.3.a.2.at,Set up equipment.,4.A.3.a.2,Handling and Moving Objects,37,219.63
4.A.4.a.2.g,Notify others of emergencies or problems.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",37,162.5
4.A.4.a.5.l,"Treat injuries, illnesses, or diseases.",4.A.4.a.5,Assisting and Caring for Others,36,416.02
