soc,name,min_rank,target_rank,job_zone,edu_src,diff
11-3051.00,Manajer Produksi,6,2,4,onet_education,-4
53-7021.00,Operator Crane,5,2,3,onet_education,-3
51-4061.00,Pembuat Model Logam/Plastik,5,2,3,onet_education,-3
51-4062.00,Pembuat Pola Cetakan Logam/Plastik,5,2,3,onet_education,-3
51-4111.00,Tool & Die Maker / Teknisi Cetakan (Mold),5,2,3,onet_education,-3
51-5111.00,Teknisi Pracetak (Prepress),5,2,3,onet_education,-3
51-1011.00,Supervisor Produksi / Foreman,5,2,3,onet_education,-3
39-5091.00,Makeup Artist (MUA) Panggung/Film,5,2,3,onet_education,-3
27-1012.00,Perajin/Seniman Kriya,5,2,3,onet_education,-3
29-2057.00,Refraksionis Optisien (Asisten Oftalmologi),5,2,3,onet_education,-3
29-2081.00,Refraksionis Optisien,5,2,3,onet_education,-3
29-2099.05,Teknolog Oftalmik,5,2,3,onet_education,-3
31-1131.00,Asisten Perawat,5,2,3,onet_education,-3
31-9011.00,Terapis Pijat,5,2,3,onet_education,-3
31-9091.00,Asisten Dokter Gigi,5,2,3,onet_education,-3
31-9097.00,Flebotomis,5,2,3,onet_education,-3
51-4041.00,Operator Mesin Bubut / Machinist,5,2,3,onet_education,-3
47-1011.03,Manajer Instalasi PLTS,5,2,3,onet_education,-3
47-2152.04,Teknisi Instalasi Pemanas Air Tenaga Surya,5,2,3,onet_education,-3
47-4011.01,Auditor Energi,5,2,3,onet_education,-3
49-2011.00,Teknisi ATM & Mesin Kantor,5,2,3,onet_education,-3
49-2097.00,Teknisi Instalasi & Servis Peralatan Audio Visual,5,2,3,onet_education,-3
49-3011.00,Teknisi Perawatan Pesawat (Aircraft Maintenance Technician/AMT),5,2,3,onet_education,-3
49-3023.00,Mekanik Mobil / Teknisi Servis Mobil,5,2,3,onet_education,-3
49-3031.00,Mekanik Diesel (Bus & Truk),5,2,3,onet_education,-3
49-3041.00,Mekanik Alat Pertanian,5,2,3,onet_education,-3
49-3042.00,Mekanik Alat Berat,5,2,3,onet_education,-3
49-3051.00,Mekanik Mesin Kapal / Motor Tempel,5,2,3,onet_education,-3
49-3052.00,Mekanik Motor,5,2,3,onet_education,-3
41-9022.00,Agen Properti,5,2,3,onet_education,-3
43-4131.00,Admin Kredit / Staf Wawancara Pinjaman,5,2,3,onet_education,-3
29-2052.00,Tenaga Teknis Kefarmasian,5,2,3,onet_education,-3
29-2056.00,Paramedis Veteriner,5,2,3,onet_education,-3
51-8021.00,Operator Boiler,5,2,3,onet_education,-3
27-4014.00,Sound Engineer,5,2,3,onet_education,-3
19-4099.01,QC Analyst,5,2,3,onet_education,-3
